dialogues,summary,AI_Gen_Summary,bleu_score
"[Person1]: Ms. Dawson, I need you to take a dictation for me.[Person2]: Yes, sir...[Person1]: This should go out as an intra-office memorandum to all employees by this afternoon. Are you ready?[Person2]: Yes, sir. Go ahead.[Person1]: Attention all staff... Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.[Person2]: Sir, does this apply to intra-office communications only? Or will it also restrict external communications?[Person1]: It should apply to all communications, not only in this office between employees, but also any outside communications.[Person2]: But sir, many employees use Instant Messaging to communicate with their clients.[Person1]: They will just have to change their communication methods. I don't want any - one using Instant Messaging in this office. It wastes too much time! Now, please continue with the memo. Where were we?[Person2]: This applies to internal and external communications.[Person1]: Yes. Any employee who persists in using Instant Messaging will first receive a warning and be placed on probation. At second offense, the employee will face termination. Any questions regarding this new policy may be directed to department heads.[Person2]: Is that all?[Person1]: Yes. Please get this memo typed up and distributed to all employees before 4 pm.",Ms. Dawson helps Person1 to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.,"Person1 asks Ms. Dawson to take a dictation for Person1 to take an intra-office memorandum to send out as an intra-office memorandum to all employees by this afternoon. Person1 tells Ms. Dawson that Instant Message programs are strictly prohibited during working hours and all office communications are restricted to email correspondence and official memos. Any employee who persists in using Instant Messaging will first receive a warning and be placed on probation, and second offense will face termination.",0.11021892830021064
"[Person1]: You're finally here! What took so long?[Person2]: I got stuck in traffic again. There was a terrible traffic jam near the Carrefour intersection.[Person1]: It's always rather congested down there during rush hour. Maybe you should try to find a different route to get home.[Person2]: I don't think it can be avoided, to be honest.[Person1]: perhaps it would be better if you started taking public transport system to work.[Person2]: I think it's something that I'll have to consider. The public transport system is pretty good.[Person1]: It would be better for the environment, too.[Person2]: I know. I feel bad about how much my car is adding to the pollution problem in this city.[Person1]: Taking the subway would be a lot less stressful than driving as well.[Person2]: The only problem is that I'm going to really miss having the freedom that you have with a car.[Person1]: Well, when it's nicer outside, you can start biking to work. That will give you just as much freedom as your car usually provides.[Person2]: That's true. I could certainly use the exercise![Person1]: So, are you going to quit driving to work then?[Person2]: Yes, it's not good for me or for the environment.",Person2 arrives late because of traffic jam. Person1 persuades Person2 to use public transportations to keep healthy and to protect the environment.,"Person2 tells Person1 Person2 got stuck in traffic again. Person2 feels bad about how much Person2's car is adding to the pollution problem in this city, so Person1 suggests Person2 taking the subway to work. Person2 thinks it's better to take the subway than driving to work.",3.496465164156607e-78
"[Person1]: Kate, you never believe what's happened.[Person2]: What do you mean?[Person1]: Masha and Hero are getting divorced.[Person2]: You are kidding. What happened?[Person1]: Well, I don't really know, but I heard that they are having a separation for 2 months, and filed for divorce.[Person2]: That's really surprising. I always thought they are well matched. What about the kids? Who get custody?[Person1]: Masha, it seems quiet and makable, no quarrelling about who get the house and stock and then contesting the divorce with other details worked out.[Person2]: That's the change from all the back stepping we usually hear about. Well, I still can't believe it, Masha and Hero, the perfect couple. When would they divorce be final?[Person1]: Early in the New Year I guess.",Person1 tells Kate that Masha and Hero get divorced. Kate is surprised because she thought they are perfect couple.,Person1 tells Kate that Masha and Hero are getting divorced. Kate can't believe it. They are well matched and have a separation for 2 months. They are going to have a separation for 2 months.,0.27280183421950277
"[Person1]: Happy Birthday, this is for you, Brian.[Person2]: I'm so happy you remember, please come in and enjoy the party. Everyone's here, I'm sure you have a good time.[Person1]: Brian, may I have a pleasure to have a dance with you?[Person2]: Ok.[Person1]: This is really wonderful party.[Person2]: Yes, you are always popular with everyone. and you look very pretty today.[Person1]: Thanks, that's very kind of you to say. I hope my necklace goes with my dress, and they both make me look good I feel.[Person2]: You look great, you are absolutely glowing.[Person1]: Thanks, this is a fine party. We should have a drink together to celebrate your birthday",Person1 and Brian are at the birthday party of Brian. Brian thinks Person1 looks great and is popular.,Person1 comes to Brian's birthday party to have a dance with him. Brian thinks Person1 is pretty and looks good. Person1 thinks they should have a drink together to celebrate Brian's birthday.,0.2634787496556163
"[Person1]: This Olympic park is so big![Person2]: Yes. Now we are in the Olympic stadium, the center of this park.[Person1]: Splendid! When is it gonna be finished?[Person2]: The whole stadium is to be finished this June.[Person1]: How many seats are there in the stand?[Person2]: Oh, there are 5000 seats in total.[Person1]: I didn ' t know it would be so big![Person2]: It is! Look there, those are the tracks. And the jumping pit is over there.[Person1]: Ah... I see. Hey, look the sign here, No climbing.[Person2]: We put many signs with English translations for foreign visitors.","Person1 is surprised at the Olympic Stadium'volume, capacity and interior setting to Person1.",Person2 tells Person1 about the Olympic park and the Olympic stadium in the center of the park.,0.18843470586004968
"[Person1]: I've had it! I am done working for a company that is taking me nowhere![Person2]: So what are you gonna do? Just quit?[Person1]: That's exactly what I am going to do! I have decided to create my own company! I am going to write up a business plan, get some investors and start working for myself![Person2]: Have you ever written up a business plan before?[Person1]: Well, no, it can't be that hard! I mean, all you have to do is explain your business, how you are going to do things and that's it, right?[Person2]: You couldn't be more wrong! A well written business plan will include an executive summary which highlights the idea of the business in two pages or less. Then you need to describe your company with information such as what type of legal structure it has, history, etc.[Person1]: Well, that seems easy enough.[Person2]: Wait, there is more! Then you need to introduce and describe your goods or services. What they are and how they are different from competitors? Then comes the hard part, a market analysis. You need to investigate and analyze hundreds of variables! You need to take into consideration socioeconomic factors from GDP per capita to how many children on average the population has! All this information is useful so that you can move on to your strategy and implementation stage, where you will describe in detail how you will actually execute your idea.[Person1]: Geez. Is that all?[Person2]: Almost, the most important piece of information for your investors will be the financial analysis. Here you will calculate and estimate sales, cash flow and profits. After all, people will want to know when they will begin to see a return on their investment![Person1]: Umm. I think I ' ll just stick to my old job and save myself all the hassle of trying to start up a business!","Person1 wants to create a company and is going to write a business plan. Person2 gives Person1 suggestions on how to summarise business ideas, describe the service, differ from competitors and attract investment in a good business plan. Person1 decides to stick to the old job.","Person1 wants to quit Person1's job and create Person1's own company. Person2 tells Person1 how to write up a business plan, introduce and describe Person1's company, introduce and describe the goods or services, introduce and describe the company's goods or services, and introduce and describe the company's goods or services. Then comes the market analysis and the financial analysis. Person1 thinks Person1 should stick to Person1's old job and save himself all the hassle of trying to start up a business.",0.25251941485584367
"[Person1]: What's wrong with you? Why are you scratching so much?[Person2]: I feel itchy! I can't stand it anymore! I think I may be coming down with something. I feel lightheaded and weak.[Person1]: Let me have a look. Whoa! Get away from me![Person2]: What's wrong?[Person1]: I think you have chicken pox! You are contagious! Get away! Don't breathe on me![Person2]: Maybe it's just a rash or an allergy! We can't be sure until I see a doctor.[Person1]: Well in the meantime you are a biohazard! I didn't get it when I was a kid and I've heard that you can even die if you get it as an adult![Person2]: Are you serious? You always blow things out of proportion. In any case, I think I'll go take an oatmeal bath.",Person2 feels itchy. Person1 doubts it is chicken pox and asks Person2 to get away. Person2 doesn't believe it.,Person1 thinks Person2 has chicken pox and Person2 thinks Person1 is a biohazard. Person1 thinks Person2 has chicken pox and Person2 thinks Person2 is blowing things out of proportion.,0.2407014628168791
"[Person1]: Good coming. What can I do for you?[Person2]: I'm in Room 309. I'm checking out today. Can I have my bill now?[Person1]: Certainly. Please wait a moment. Here you are.[Person2]: Thanks. Wait... What's this? The 30 dollar for?[Person1]: Excuse me... The charge for your laundry service on Nov. 20th.[Person2]: But I did't take any laundry service during my stay here. I think you have added someone else's.[Person1]: Ummmm...Sorry, would you mind waiting a moment? We check it with the department concerned.[Person2]: No. As long as we get this straightened out.[Person1]: I'm very sorry. There has been a mistake. We'll correct the bill. Please take a look.[Person2]: Okay, here you are.[Person1]: Goodbye.",Person2 is checking out and asks Person1 for the bill. Person1 gives Person2 a wrong bill at first then corrects it.,Person1 helps Person2 to check out. Person2 asks Person1 to correct the bill because Person2 didn't take any laundry service during the stay.,0.25974218272193694
"[Person1]: Steven, I need badly your help.[Person2]: What's the matter?[Person1]: My wife has found that I have an affair with my secretary, and now she is going to divorce me.[Person2]: How could you cheat on your wife? You have been married for ten years.[Person1]: Yes, I know I'm wrong. But I swear that the affair lasts only for two months. And I still love my wife. I couldn't live without her.[Person2]: I will try my best to persuade her to reconsider the divorce. But are you sure that from now on you will be faithful to her forever?[Person1]: Yes, I swear.",Person1 is begging Steven to persuade his wife not to divorce him. Steven agrees.,Person1 tells Steven Person1's wife is going to divorce Person1 because Person1 has an affair with Person1's secretary. Person1 promises to be faithful to Person1's wife from now on.,0.15397287155399453
"[Person1]: Who stands out in your mind as a man or woman of sound character?[Person2]: If I think of famous people, I think of Abraham Lincoln.[Person1]: He's the US president, who walked five miles just to give a lady her change, isn't he?[Person2]: That's the one. He also was famous for never giving up on his goals.[Person1]: That's right. He ran for office quite a few times before he was finally elected.[Person2]: And I also admire him for his courage in fighting for equal rights.[Person1]: He had great vision, didn't he?[Person2]: And humility. I would have liked to meet him personally.",Person1 and Person2 are talking about Abraham Lincoln. They think he was a noble man.,Person2 thinks of Abraham Lincoln as a man or woman of sound character. Person2 admires him for his courage in fighting for equal rights and humility.,0.17143836874659563
